Table,key,Field,Order,Required
DIAGNOSIS,ENCOUNTERID,ENCOUNTERID,3,Y
DIAGNOSIS,ENCTYPE,ENC_TYPE,4,N
DIAGNOSIS,ADMITDATE,ADMIT_DATE,5,N
DIAGNOSIS,PROVIDERID,PROVIDERID,6,N
DIAGNOSIS,DX,DX,7,Y
DIAGNOSIS,DXTYPE,DX_TYPE,8,Y
DIAGNOSIS,DXSOURCE,DX_SOURCE,9,Y
DIAGNOSIS,DXORIGIN,DX_ORIGIN,10,N
DIAGNOSIS,PDX,PDX,11,N
DIAGNOSIS,RAWDX,RAW_DX,12,N
DIAGNOSIS,RAWDXTYPE,RAW_DX_TYPE,13,N
DIAGNOSIS,RAWDXSOURCE,RAW_DX_SOURCE,14,N
DIAGNOSIS,RAWPDX,RAW_PDX,15,N
PROCEDURES,PROCEDURESID,PROCEDURESID,1,Y
PROCEDURES,PATID,PATID,2,Y
PROCEDURES,ENCOUNTERID,ENCOUNTERID,3,Y
PROCEDURES,ENCTYPE,ENC_TYPE,4,N
PROCEDURES,ADMITDATE,ADMIT_DATE,5,N
PROCEDURES,PROVIDERID,PROVIDERID,6,N
PROCEDURES,PXDATE,PX_DATE,7,N
PROCEDURES,PX,PX,8,Y
PROCEDURES,PXTYPE,PX_TYPE,9,Y
PROCEDURES,PXSOURCE,PX_SOURCE,10,N
PROCEDURES,RAWPX,RAW_PX,11,N
PROCEDURES,RAWPXTYPE,RAW_PX_TYPE,12,N
VITAL,VITALID,VITALID,1,Y
VITAL,PATID,PATID,2,Y
VITAL,ENCOUNTERID,ENCOUNTERID,3,N
VITAL,MEASUREDATE,MEASURE_DATE,4,Y
VITAL,MEASURETIME,MEASURE_TIME,5,N
VITAL,VITALSOURCE,VITAL_SOURCE,6,Y
VITAL,HT,HT,7,N
VITAL,WT,WT,8,N
VITAL,DIASTOLIC,DIASTOLIC,9,N
VITAL,SYSTOLIC,SYSTOLIC,10,N
VITAL,ORIGINALBMI,ORIGINAL_BMI,11,N
VITAL,BPPOSITION,BP_POSITION,12,N
VITAL,SMOKING,SMOKING,13,N
VITAL,TOBACCO,TOBACCO,14,N
VITAL,TOBACCOTYPE,TOBACCO_TYPE,15,N
VITAL,RAWDIASTOLIC,RAW_DIASTOLIC,16,N
VITAL,RAWSYSTOLIC,RAW_SYSTOLIC,17,N
VITAL,RAWBPPOSITION,RAW_BP_POSITION,18,N
VITAL,RAWSMOKING,RAW_SMOKING,19,N
VITAL,RAWTOBACCO,RAW_TOBACCO,20,N
VITAL,RAWTOBACCOTYPE,RAW_TOBACCO_TYPE,21,N
VITAL,RAWVITALSOURCE,RAW_VITAL_SOURCE,22,N
DISPENSING,DISPENSINGID,DISPENSINGID,1,Y
DISPENSING,PATID,PATID,2,Y
DISPENSING,PRESCRIBINGID,PRESCRIBINGID,3,N
DISPENSING,DISPENSEDATE,DISPENSE_DATE,4,Y
DISPENSING,NDC,NDC,5,Y
DISPENSING,DISPENSESUP,DISPENSE_SUP,6,N
DISPENSING,DISPENSEAMT,DISPENSE_AMT,7,N
DISPENSING,RAWNDC,RAW_NDC,8,N
LAB_RESULT_CM,LABRESULTCMID,LAB_RESULT_CM_ID,1,Y
LAB_RESULT_CM,PATID,PATID,2,Y
LAB_RESULT_CM,ENCOUNTERID,ENCOUNTERID,3,N
LAB_RESULT_CM,LABNAME,LAB_NAME,4,N
LAB_RESULT_CM,SPECIMENSOURCE,SPECIMEN_SOURCE,5,N
LAB_RESULT_CM,LABLOINC,LAB_LOINC,6,N
LAB_RESULT_CM,PRIORITY,PRIORITY,7,N
LAB_RESULT_CM,RESULTLOC,RESULT_LOC,8,N
LAB_RESULT_CM,LABPX,LAB_PX,9,N
LAB_RESULT_CM,LABPXTYPE,LAB_PX_TYPE,10,N
LAB_RESULT_CM,LABORDERDATE,LAB_ORDER_DATE,11,N
LAB_RESULT_CM,SPECIMENDATE,SPECIMEN_DATE,12,N
LAB_RESULT_CM,SPECIMENTIME,SPECIMEN_TIME,13,N
LAB_RESULT_CM,RESULTDATE,RESULT_DATE,14,Y
LAB_RESULT_CM,RESULTTIME,RESULT_TIME,15,N
LAB_RESULT_CM,RESULTQUAL,RESULT_QUAL,16,N
LAB_RESULT_CM,RESULTNUM,RESULT_NUM,17,N
LAB_RESULT_CM,RESULTMODIFIER,RESULT_MODIFIER,18,N
LAB_RESULT_CM,RESULTUNIT,RESULT_UNIT,19,N
LAB_RESULT_CM,NORMRANGELOW,NORM_RANGE_LOW,20,N
LAB_RESULT_CM,NORMMODIFIERLOW,NORM_MODIFIER_LOW,21,N
LAB_RESULT_CM,NORMRANGEHIGH,NORM_RANGE_HIGH,22,N
LAB_RESULT_CM,NORMMODIFIERHIGH,NORM_MODIFIER_HIGH,23,N
LAB_RESULT_CM,ABNIND,ABN_IND,24,N
LAB_RESULT_CM,RAWLABNAME,RAW_LAB_NAME,25,N
LAB_RESULT_CM,RAWLABCODE,RAW_LAB_CODE,26,N
LAB_RESULT_CM,RAWPANEL,RAW_PANEL,27,N
LAB_RESULT_CM,RAWRESULT,RAW_RESULT,28,N
LAB_RESULT_CM,RAWUNIT,RAW_UNIT,29,N
LAB_RESULT_CM,RAWORDERDEPT,RAW_ORDER_DEPT,30,N
LAB_RESULT_CM,RAWFACILITYCODE,RAW_FACILITY_CODE,31,N
CONDITION,CONDITIONID,CONDITIONID,1,Y
CONDITION,PATID,PATID,2,Y
CONDITION,ENCOUNTERID,ENCOUNTERID,3,N
CONDITION,REPORTDATE,REPORT_DATE,4,N
CONDITION,RESOLVEDATE,RESOLVE_DATE,5,N
CONDITION,ONSETDATE,ONSET_DATE,6,N
CONDITION,CONDITIONSTATUS,CONDITION_STATUS,7,N
CONDITION,CONDITION,CONDITION,8,Y
CONDITION,CONDITIONTYPE,CONDITION_TYPE,9,Y
CONDITION,CONDITIONSOURCE,CONDITION_SOURCE,10,Y
CONDITION,RAWCONDITIONSTATUS,RAW_CONDITION_STATUS,11,N
CONDITION,RAWCONDITION,RAW_CONDITION,12,N
CONDITION,RAWCONDITIONTYPE,RAW_CONDITION_TYPE,13,N
CONDITION,RAWCONDITIONSOURCE,RAW_CONDITION_SOURCE,14,N
PRO_CM,PROCMID,PRO_CM_ID,1,Y
PRO_CM,PATID,PATID,2,Y
PRO_CM,ENCOUNTERID,ENCOUNTERID,3,N
PRO_CM,PROITEM,PRO_ITEM,4,Y
PRO_CM,PROLOINC,PRO_LOINC,5,N
PRO_CM,PRODATE,PRO_DATE,6,Y
PRO_CM,PROTIME,PRO_TIME,7,N
PRO_CM,PRORESPONSE,PRO_RESPONSE,8,Y
PRO_CM,PROMETHOD,PRO_METHOD,9,N
PRO_CM,PROMODE,PRO_MODE,10,N
PRO_CM,PROCAT,PRO_CAT,11,N
PRO_CM,RAWPROCODE,RAW_PRO_CODE,12,N
PRO_CM,RAWPRORESPONSE,RAW_PRO_RESPONSE,13,N
PRESCRIBING,PRESCRIBINGID,PRESCRIBINGID,1,Y
PRESCRIBING,PATID,PATID,2,Y
PRESCRIBING,ENCOUNTERID,ENCOUNTERID,3,N
PRESCRIBING,RXPROVIDERID,RX_PROVIDERID,4,N
PRESCRIBING,RXORDERDATE,RX_ORDER_DATE,5,N
PRESCRIBING,RXORDERTIME,RX_ORDER_TIME,6,N
PRESCRIBING,RXSTARTDATE,RX_START_DATE,7,N
PRESCRIBING,RXENDDATE,RX_END_DATE,8,N
PRESCRIBING,RXQUANTITY,RX_QUANTITY,9,N
PRESCRIBING,RXQUANTITYUNIT,RX_QUANTITY_UNIT,10,N
PRESCRIBING,RXREFILLS,RX_REFILLS,11,N
PRESCRIBING,RXDAYSSUPPLY,RX_DAYS_SUPPLY,12,N
PRESCRIBING,RXFREQUENCY,RX_FREQUENCY,13,N
PRESCRIBING,RXBASIS,RX_BASIS,14,N
PRESCRIBING,RXNORMCUI,RXNORM_CUI,15,N
PRESCRIBING,RAWRXMEDNAME,RAW_RX_MED_NAME,16,N
PRESCRIBING,RAWRXFREQUENCY,RAW_RX_FREQUENCY,17,N
PRESCRIBING,RAWRXNORMCUI,RAW_RXNORM_CUI,18,N
PRESCRIBING,RAWRXQUANTITY,RAW_RX_QUANTITY,19,N
PRESCRIBING,RAWRXNDC,RAW_RX_NDC,20,N
PCORNET_TRIAL,PATID,PATID,1,Y
PCORNET_TRIAL,TRIALID,TRIALID,2,Y
PCORNET_TRIAL,PARTICIPANTID,PARTICIPANTID,3,Y
PCORNET_TRIAL,TRIALSITEID,TRIAL_SITEID,4,N
PCORNET_TRIAL,TRIALENROLLDATE,TRIAL_ENROLL_DATE,5,N
PCORNET_TRIAL,TRIALENDDATE,TRIAL_END_DATE,6,N
PCORNET_TRIAL,TRIALWITHDRAWDATE,TRIAL_WITHDRAW_DATE,7,N
PCORNET_TRIAL,TRIALINVITECODE,TRIAL_INVITE_CODE,8,N
DEATH,PATID,PATID,1,Y
DEATH,DEATHDATE,DEATH_DATE,2,N
DEATH,DEATHDATEIMPUTE,DEATH_DATE_IMPUTE,3,N
DEATH,DEATHSOURCE,DEATH_SOURCE,4,Y
DEATH,DEATHMATCHCONFIDENCE,DEATH_MATCH_CONFIDENCE,5,N
DEATH_CAUSE,PATID,PATID,1,Y
DEATH_CAUSE,DEATHCAUSE,DEATH_CAUSE,2,Y
DEATH_CAUSE,DEATHCAUSECODE,DEATH_CAUSE_CODE,3,Y
DEATH_CAUSE,DEATHCAUSETYPE,DEATH_CAUSE_TYPE,4,Y
DEATH_CAUSE,DEATHCAUSESOURCE,DEATH_CAUSE_SOURCE,5,Y
DEATH_CAUSE,DEATHCAUSECONFIDENCE,DEATH_CAUSE_CONFIDENCE,6,N
HARVEST,NETWORKID,NETWORKID,1,Y
HARVEST,NETWORKNAME,NETWORK_NAME,2,N
HARVEST,DATAMARTID,DATAMARTID,3,Y
HARVEST,DATAMARTNAME,DATAMART_NAME,4,N
HARVEST,DATAMARTPLATFORM,DATAMART_PLATFORM,5,N
HARVEST,CDMVERSION,CDM_VERSION,6,N
HARVEST,DATAMARTCLAIMS,DATAMART_CLAIMS,7,N
HARVEST,DATAMARTEHR,DATAMART_EHR,8,N
HARVEST,BIRTHDATEMGMT,BIRTH_DATE_MGMT,9,N
HARVEST,ENRSTARTDATEMGMT,ENR_START_DATE_MGMT,10,N
HARVEST,ENRENDDATEMGMT,ENR_END_DATE_MGMT,11,N
HARVEST,ADMITDATEMGMT,ADMIT_DATE_MGMT,12,N
HARVEST,DISCHARGEDATEMGMT,DISCHARGE_DATE_MGMT,13,N
HARVEST,PXDATEMGMT,PX_DATE_MGMT,14,N
HARVEST,RXORDERDATEMGMT,RX_ORDER_DATE_MGMT,15,N
HARVEST,RXSTARTDATEMGMT,RX_START_DATE_MGMT,16,N
HARVEST,RXENDDATEMGMT,RX_END_DATE_MGMT,17,N
HARVEST,DISPENSEDATEMGMT,DISPENSE_DATE_MGMT,18,N
HARVEST,LABORDERDATEMGMT,LAB_ORDER_DATE_MGMT,19,N
HARVEST,SPECIMENTDATEMGMT,SPECIMENT_DATE_MGMT,20,N
HARVEST,RESULTDATEMGMT,RESULT_DATE_MGMT,21,N
HARVEST,MEASUREDATEMGMT,MEASURE_DATE_MGMT,22,N
HARVEST,ONSETDATEMGMT,ONSET_DATE_MGMT,23,N
HARVEST,REPORTDATEMGMT,REPORT_DATE_MGMT,24,N
HARVEST,RESOLVEDATEMGMT,RESOLVE_DATE_MGMT,25,N
HARVEST,PRODATEMGMT,PRO_DATE_MGMT,26,N
HARVEST,REFRESHDEMOGRAPHICDATE,REFRESH_DEMOGRAPHIC_DATE,27,N
HARVEST,REFRESHENROLLMENTDATE,REFRESH_ENROLLMENT_DATE,28,N
HARVEST,REFRESHENCOUNTERDATE,REFRESH_ENCOUNTER_DATE,29,N
HARVEST,REFRESHDIAGNOSISDATE,REFRESH_DIAGNOSIS_DATE,30,N
HARVEST,REFRESHPROCEDURESDATE,REFRESH_PROCEDURES_DATE,31,N
HARVEST,REFRESHVITALDATE,REFRESH_VITAL_DATE,32,N
HARVEST,REFRESHDISPENSINGDATE,REFRESH_DISPENSING_DATE,33,N
HARVEST,REFRESHLABRESULTCMDATE,REFRESH_LAB_RESULT_CM_DATE,34,N
HARVEST,REFRESHCONDITIONDATE,REFRESH_CONDITION_DATE,35,N
HARVEST,REFRESHPROCMDATE,REFRESH_PRO_CM_DATE,36,N
HARVEST,REFRESHPRESCRIBINGDATE,REFRESH_PRESCRIBING_DATE,37,N
HARVEST,REFRESHPCORNETTRIALDATE,REFRESH_PCORNET_TRIAL_DATE,38,N
HARVEST,REFRESHDEATHDATE,REFRESH_DEATH_DATE,39,N
HARVEST,REFRESHDEATHCAUSEDATE,REFRESH_DEATH_CAUSE_DATE,40,N
